一般等银行电话确认会是什么时间	一般等商业银行电话确认会是什么时间
怎样变更还款银行	怎样变更还款商业银行
为什么不符合微众银行审批要求	为什么不符合微众商业银行审批要求
交易成功后金额多少时间到	交易成功后数额多少时间到
身份信息输入错误，次数过多不能借款	身分信息输入错误，次数过多不能借款
怎么操作借钱的时候 显示身份信息多次不对	怎么操作借钱的时候显示身分信息多次不对
你好，我的微粒贷己结清，现在要办一笔房贷，银行要求我提供结清证明和柜台流水，你们可以提供吗?	你好，我的微粒贷己结清，现在要办一笔房贷，商业银行要求我提供结清证明和柜台流水，你们可以提供吗?
怎么收益不对呀，昨天还是5752，今天只有5757，整啥猫腻呢	怎么投资收益不对呀，昨天还是5752，今天只有5757，整啥猫腻呢
苹果手机用户	苹果公司手机用户
还款记录怎么给银行证明	还款记录怎么给商业银行证明
一直看不到我能申请多少金额	一直看不到我能申请多少数额
怎么修改还款银行	怎么修改还款商业银行
微众银行董事长是谁	微众商业银行董事长是谁
都有什么银行	都有什么商业银行
身份错误	身分错误
你好，借款后银行什么时候来电？	你好，借款后商业银行什么时候来电？
你好！请教个问题，微众银行是QQ号或微信号登陆的，那如果QQ号和微信号被盗了，微众银行登不上去怎么办？	你好！请教个问题，微众商业银行是QQ号或微信号登陆的，那如果QQ号和微信号被盗了，微众银行登不上去怎么办？
未满足微众银行的审批	未满足微众商业银行的审批
未满足微众银行的审批	未满足微众商业银行的审批
身份信息输入错误次数过多，借钱失败	身分信息输入错误次数过多，借钱失败
一般电话确定身份需要多久	一般电话确定身分需要多久
验证码的手机号不是银行预留号码	验证码的手机号不是商业银行预留号码
如果手机掉了，应该怎么做，才能保障微众银行里面的钱？	如果手机掉了，应该怎么做，才能保障微众商业银行里面的钱？
注册时一直让验证面部,不知道是不是没通过,后来就注册不了也登录不了，显示网络存在不安全因素暂时不能登录	注册时一直让验证脸部,不知道是不是没通过,后来就注册不了也登录不了，显示网络存在不安全因素暂时不能登录
你未满足微众银行审批要求	你未满足微众商业银行审批要求
如何更改每个月的还款日期及金额？	如何更改每个月的还款日期及数额？
上边说我未满足微众银行要求	上边说我未满足微众商业银行要求
为什么银行没有自动扣款？	为什么商业银行没有自动扣款？
2天没接到银行的电话确认，该怎么处	2天没接到商业银行的电话确认，该怎么处
华众银行可以快捿支付吗	华众商业银行可以快捿支付吗
借款后，银行多长时间打电话确认	借款后，商业银行多长时间打电话确认
邀请哥，速度	邀请哥，速率
1.微众银行介绍	1.微众商业银行介绍
我的显示未达到微众银行的审批要求是怎么回事	我的显示未达到微众商业银行的审批要求是怎么回事
我的为什么没有满足微众银行的审批	我的为什么没有满足微众商业银行的审批
银行电话什么时间来	商业银行电话什么时间来
微粒贷和微众银行是一样的吗？	微粒贷和微众商业银行是一样的吗？
我申请提交已经36小时了。咋还是没电话打来确认。。。。。不会是把我的提交信息忽略了吧。。。。	我申请提交已经36半小时了。咋还是没电话打来确认。。。。。不会是把我的提交信息忽略了吧。。。。
我有一笔借款正在等银行电话，怎么取消	我有一笔借款正在等商业银行电话，怎么取消
我去银行更改了预留手机号码	我去商业银行更改了预留手机号码
为什么卡里有充足钱，确还款失败	为什么卡里有充裕钱，确还款失败
我的意思是我看到玩，你又给我开通不了金额都没事别BB	我的意思是我看到玩，你又给我开通不了数额都没事别BB
说未满足微众银行审批要求，操作不了	说未满足微众商业银行审批要求，操作不了
利息每次算法不一样吗	利息每次演算法不一样吗
说是未满足众微银行审批	说是未满足众微商业银行审批
用其他银行，怎么还不了款，	用其他商业银行，怎么还不了款，
QQ上的借钱跟微信上的微粒贷金额是通用的吗	QQ上的借钱跟微信上的微粒贷数额是通用的吗
你未满足微众银行审批要求	你未满足微众商业银行审批要求
你好，我原先绑定的银行卡芯片出问题，想重新补卡，怎么整	你好，我原先绑定的银行卡晶片出问题，想重新补卡，怎么整
请问等银行的审核电话要等多久？	请问等商业银行的审核电话要等多久？
怎么今天用微信登录不了微众银行？	怎么今天用微信登录不了微众商业银行？
我是苹果手机	我是苹果公司手机
他说我未满足微众银行审批要求	他说我未满足微众商业银行审批要求
都支持啥银行	都支持啥商业银行
为什么会提示因输入身份信息错误次数过多不能借款	为什么会提示因输入身分信息错误次数过多不能借款
为什么我的微众银行无法登录	为什么我的微众商业银行无法登录
我银行卡余额充足，但是还款失败是怎么回事	我银行卡余额充裕，但是还款失败是怎么回事
身份信息填写错误	身分信息填写错误
借款后，银行何时打电话确认	借款后，商业银行何时打电话确认
到帐金额可以转到本人其它银行卡吗	到帐数额可以转到本人其它银行卡吗
为什么总是让我输入密码验证身份	为什么总是让我输入密码验证身分
一般银行什么时候打电话确认	一般商业银行什么时候打电话确认
为啥我我会显示，你伟满足微众银行审批要求	为啥我我会显示，你伟满足微众商业银行审批要求
一月能贷多少金额	一月能贷多少数额
我的借款老是提示身份信息输入错误，无法借款，是什么原因?	我的借款老是提示身分信息输入错误，无法借款，是什么原因?
17:00之前扣款失败，但现在还款卡余额充足，银行还会在次扣款吗？会不会影响了信誉？	17:00之前扣款失败，但现在还款卡余额充裕，银行还会在次扣款吗？会不会影响了信誉？
我的电话户主是我父亲、是那种电信包月的套餐、可以用几部手机的。可以办理代款么	我的电话户主是我母亲、是那种电信包月的套餐、可以用几部手机的。可以办理代款么
你好苹果手机可以吗	你好苹果公司手机可以吗
不符合微众银行审批条件	不符合微众商业银行审批条件
怎么修改还款银行帐号	怎么修改还款商业银行帐号
提示未通过微信银行的审批要求是什么情况	提示未通过微信商业银行的审批要求是什么情况
在外无法还款，推迟几小时可以吗？	在外无法还款，推迟几半小时可以吗？
银行电话什么时间来	商业银行电话什么时间来
还款记录怎么给银行证明	还款记录怎么给商业银行证明
看的到图标为达到银行审批什么意思呢	看的到图标为达到商业银行审批什么意思呢
你好我银行捆绑卡的联系号码已经变更，为何客服验证还是给我原来取消的预留号码打电话验证？	你好我商业银行捆绑卡的联系号码已经变更，为何客服验证还是给我原来取消的预留号码打电话验证？
为满足银行审批要求是怎么回事	为满足商业银行审批要求是怎么回事
我未满足银行审批啥意思	我未满足商业银行审批啥意思
不符合微众银行审批要求是什么意思	不符合微众商业银行审批要求是什么意思
银行电话联系要多久时间	商业银行电话联系要多久时间
你好，微众银行App最近老是打不开，怎么办，打开就是白色界面什么也没有	你好，微众商业银行App最近老是打不开，怎么办，打开就是白色界面什么也没有
如何满足微粒银行的审核	如何满足微粒商业银行的审核
什么银行	什么商业银行
从微众卡转账到广发银行的限额是多少？	从微众卡转账到广发商业银行的限额是多少？
我借到的钱是存入我的银行账户还是微信账户？可以取现吗？	我借到的钱是存入我的商业银行账户还是微信账户？可以取现吗？
你好，我的农行卡出了点问题，我需要换卡，这种情况怎样处理	你好，我的农行卡出了点问题，我需要换卡，这种情形怎样处理
身份信息输入错误次太多，无法申请成功	身分信息输入错误次太多，无法申请成功
身份号码输入错误，提示不可以借款要怎样才可以恢复	身分号码输入错误，提示不可以借款要怎样才可以恢复
我的信用额度都很高为什么贷不了呢	我的信用额度都很低为什么贷不了呢
收款银行是哪家银行呢？	收款商业银行是哪家银行呢？
不支持招商银行？	不支持招商商业银行？
交通银行	交通商业银行
转账出去金额有没有限制？	转账出去数额有没有限制？
微众银行APP打不开	微众商业银行APP打不开
中信银行信用卡	中信商业银行信用卡
光大银行	光大商业银行
为什么显示说身份信息输入多次错误？无法借款？我的身份证后四位并没有输入错误啊	为什么显示说身分信息输入多次错误？无法借款？我的身份证后四位并没有输入错误啊
怎样变更还款银行	怎样变更还款商业银行
身份信息输入错误次数过多，借钱失败	身分信息输入错误次数过多，借钱失败
咱这个利息多高啊	咱这个利息多低啊
银行电话什么时候打？	商业银行电话什么时候打？
我刚申请了借款……说是三分钟给电话……但一直没接到电话……麻烦你查查是什么情况……	我刚申请了借款……说是三分钟给电话……但一直没接到电话……麻烦你查查是什么情形……
你好，我的身份信息填的没有错啊，怎么显示不对呢	你好，我的身分信息填的没有错啊，怎么显示不对呢
那微衣银行的钱可以转回银行卡上吗	那微衣商业银行的钱可以转回银行卡上吗
可以字面取消嘛 微粒贷软件	可以字面取消嘛微粒贷应用软件
支持那几家银行？	支持那几家商业银行？
银行电话号码更改了怎么办	商业银行电话号码更改了怎么办
银行预留手机号不符	商业银行预留手机号不符
:能调高额度	:能调低额度
产品本身安全吗？是不是和传统银行的定期存款一样的安全？	产品本身安全吗？是不是和传统商业银行的定期存款一样的安全？
怎么操作借钱的时候 显示身份信息多次不对	怎么操作借钱的时候显示身分信息多次不对
请问为什么这两天本机登录微众银行都是显示失败?	请问为什么这两天本机登录微众商业银行都是显示失败?
银行限制	商业银行限制
微信没有榜银行卡为什么不可以领红包	微信没有排行榜银行卡为什么不可以领红包
额度太低了！申请取消微粒贷	额度太高了！申请取消微粒贷
苹果手机会邀请吗	苹果公司手机会邀请吗
为什么没满足微众银行审批	为什么没满足微众商业银行审批
贷款，利息高嘛	贷款，利息低嘛
我想了解一下我的账单情况	我想了解一下我的账单情形
怎么提示身份信息输入错误次数过多，无法借款。什么意思？	怎么提示身分信息输入错误次数过多，无法借款。什么意思？
银行验证码预留的号码已换 收不到短息验证码	商业银行验证码预留的号码已换收不到短息验证码
为什么银行没有自动扣款？	为什么商业银行没有自动扣款？
一般申请借款后多长时间银行电话确认	一般申请借款后多长时间商业银行电话确认
为什么我银行上有钱，还是扣款失败	为什么我商业银行上有钱，还是扣款失败
借款一个账号只能借一次吗	借款一个帐号只能借一次吗
我的显示身份验证多次失败无法借款？怎么回事？	我的显示身分验证多次失败无法借款？怎么回事？
人品值查询	人品数值查询
您未满足微众银行审批条件	您未满足微众商业银行审批条件
怎么验证身份者	怎么验证身分者
为什么我的微信没有微众银行	为什么我的微信没有微众商业银行
分期 是不是每个月都要还指定数额	分期是不是每个月都要还指定金额
苹果手机怎么还没有开通？	苹果公司手机怎么还没有开通？
身份错误	身分错误
苹果手机有微粒贷吗！	苹果公司手机有微粒贷吗！
为什么借款一直显示等待银行电话的确认	为什么借款一直显示等待商业银行电话的确认
修改支付银行	修改支付商业银行
银行怎么没有扣款	商业银行怎么没有扣款
建设银行	建设商业银行
主要是卡在补充身份信息这里，提示格式错误	主要是卡在补充身分信息这里，提示格式错误
我银行卡正常，金额也够。为什么还款失败	我银行卡正常，数额也够。为什么还款失败
可以支持哪些银行	可以支持哪些商业银行
一般多长时间内银行方会给电话确认？	一般多长时间内商业银行方会给电话确认？
我的意思是我看到玩，你又给我开通不了金额都没事别BB	我的意思是我看到玩，你又给我开通不了数额都没事别BB
请问为什么显示我可以借25000元，可是总显示身份输入错误次数过多，无法借款？	请问为什么显示我可以借25000元，可是总显示身分输入错误次数过多，无法借款？
微粒贷支持的银行	微粒贷支持的商业银行
以前绑定的银行卡已经过期，现怎样重新绑定其他的银行片	以前绑定的银行卡已经过期，现怎样重新绑定其他的商业银行片
为什么我借款它显示，身份信息多次输入错误，不能借款，但是我没有输错呀	为什么我借款它显示，身分信息多次输入错误，不能借款，但是我没有输错呀
农业银行单日转账限额	农业商业银行单日转账限额
手机号码要到银行更改吗	手机号码要到商业银行更改吗
人品值可以干什么？	人品数值可以干什么？
我身份信息输入正确的，为什么说我错误	我身分信息输入正确的，为什么说我错误
平安银行现在存不了钱？换卡怎么没打电话过去	平安商业银行现在存不了钱？换卡怎么没打电话过去
亲想问问我借款的时候操作到最后输入支付密码验证身份了后短信验证都验证了接着又是支付密码验证再短信验证老是这两个步骤重复什么意思啊	亲想问问我借款的时候操作到最后输入支付密码验证身分了后短信验证都验证了接着又是支付密码验证再短信验证老是这两个步骤重复什么意思啊
变更还款账号	变更还款帐号
我6月12号还款，6月12号凌晨余额不足扣款失败，6月12号17:30扣款卡余额充足，什么时间扣款	我6月12号还款，6月12号凌晨余额不足扣款失败，6月12号17:30扣款卡余额充裕，什么时间扣款
借款一个账号只能借一次吗	借款一个帐号只能借一次吗
我没有获得银行审批	我没有获得商业银行审批
你好，从微众银行转出的金额有限制吗，比如我微众上有30万，可以一次实时转到绑定的银行卡吗？	你好，从微众商业银行转出的金额有限制吗，比如我微众上有30万，可以一次实时转到绑定的银行卡吗？
怎么验证身份	怎么验证身分
借款后，银行何时打电话确认	借款后，商业银行何时打电话确认
有一笔借款等待银行电话确认。为什么收不到确认电话？	有一笔借款等待商业银行电话确认。为什么收不到确认电话？
身份错误	身分错误
6月1日申请借款，至今还没有接到银行的电话确认	6月1日申请借款，至今还没有接到商业银行的电话确认
身份信息说去错误	身分信息说去错误
不符合微众银行审批标准是什么意思	不符合微众商业银行审批标准是什么意思
人行征信报告	人行征信调查报告
不符合微众银行审批要求	不符合微众商业银行审批要求
提示身份信息填写错误次数过多，无法继续借钱，但是没填写错误啊，之前也没借过，如何解决！	提示身分信息填写错误次数过多，无法继续借钱，但是没填写错误啊，之前也没借过，如何解决！
20号早上提现，现在还没到账是什么情况	20号早上提现，现在还没到账是什么情形
我没有获得银行审批	我没有获得商业银行审批
众享太平天天利没收益	众享太平天天利没投资收益
未满足微众银行审核要求，无法借款	未满足微众商业银行审核要求，无法借款
支持银行是那些	支持商业银行是那些
提示说身份输入错误过多，不能借款	提示说身分输入错误过多，不能借款
为满足银行审批要求是怎么回事	为满足商业银行审批要求是怎么回事
为什么申请借款后等待银行电话迟迟不来	为什么申请借款后等待商业银行电话迟迟不来
你好，为什么我的还款会失败呢，卡里金额充足	你好，为什么我的还款会失败呢，卡里数额充足
一直输错，身份信息	一直输错，身分信息
未符合微众银行审批要求	未符合微众商业银行审批要求
为什么我未满足微众银行审批	为什么我未满足微众商业银行审批
我要更改还款的银行号码，请问怎么操作？	我要更改还款的商业银行号码，请问怎么操作？
为什么我借款第一次就提示身份信息输入错误次数过多？	为什么我借款第一次就提示身分信息输入错误次数过多？
【微众银行】还款失败通知：您好，由于您农业银行(1773)余额不足，您在手机微信申请的微粒贷还款失败。请确保今日（05月13日）17:00之前还款卡内余额充足，我们将于今日再次扣款。	【微众商业银行】还款失败通知：您好，由于您农业银行(1773)余额不足，您在手机微信申请的微粒贷还款失败。请确保今日（05月13日）17:00之前还款卡内余额充足，我们将于今日再次扣款。
额度太低了！申请取消微粒贷	额度太高了！申请取消微粒贷
什么银行	什么商业银行
微粒贷是和上海银行合作的吗	微粒贷是和上海商业银行合作的吗
一笔最多多少金额	一笔最多多少数额
苹果手机不可以登录吗？	苹果公司手机不可以登录吗？
你好，为什么我的还款会失败呢，卡里金额充足	你好，为什么我的还款会失败呢，卡里数额充足
微重银行	微重商业银行
支持那几家银行？	支持那几家商业银行？
有一笔借款等待银行电话确认。为什么收不到确认电话？	有一笔借款等待商业银行电话确认。为什么收不到确认电话？
支持哪些银行	支持哪些商业银行
苹果系统木有	苹果公司系统木有
怎么操作借钱的时候 显示身份信息多次不对	怎么操作借钱的时候显示身分信息多次不对
说我身份信息录入错误 但是我没有录入错啊	说我身分信息录入错误但是我没有录入错啊
借款后1小时都没电话通知	借款后1半小时都没电话通知
我上期卡了，第二天就还了，这样的情况还能贷到吗	我上期卡了，第二天就还了，这样的情形还能贷到吗
今天不好还款吗	今天不太好还款吗
为什么邮储银行的银行卡邦不上呢	为什么邮储商业银行的银行卡邦不上呢
微信银行用微信账号登录怎么登不上？	微信商业银行用微信账号登录怎么登不上？
建设银行支持吗	建设商业银行支持吗
身份信心输入多次错误不能借款	身分信心输入多次错误不能借款
从活期+转到邮政卡，都半小时了，还没到帐？	从活期+转到邮政卡，都半半小时了，还没到帐？
从活期+转到邮政卡，都半小时了，还没到帐？	从活期+转到邮政卡，都半半小时了，还没到帐？
都支持啥银行	都支持啥商业银行
微众银行APP打不开	微众商业银行APP打不开
为什么银行审核不通过	为什么商业银行审核不通过
就是说如果有特殊情况逾期哪怕一天也会上征信吗	就是说如果有特殊情形逾期哪怕一天也会上征信吗
申请了借款，电话也确认了，为什么一个小时也没有消息	申请了借款，电话也确认了，为什么一个半小时也没有消息
/难过/难过/难过为啥昨天没自动扣款？	/伤心/难过/难过为啥昨天没自动扣款？
什么银行卡能转到微众银行	什么银行卡能转到微众商业银行
如何提升额高	如何提升额低
不支持招商银行？	不支持招商商业银行？
借款时显示未通过银行审核	借款时显示未通过商业银行审核
深圳农村商业银行不支持吗	深圳农村商业商业银行不支持吗
怎么到现在没接到电话银行的电话确认？	怎么到现在没接到电话商业银行的电话确认？
等待银行电话确认	等待商业银行电话确认
怎么还款，我账号改了	怎么还款，我帐号改了
当天借款，什么时间还利息低	当天借款，什么时间还利息高
支持什银行	支持什商业银行
我相互余额充足，提前还款怎么提示余额不足	我相互余额充裕，提前还款怎么提示余额不足
更换还款账号	更换还款帐号
你好，借款后银行什么时候来电？	你好，借款后商业银行什么时候来电？
为什么说我的帐号未满足微众银行审批要求无法借贷	为什么说我的帐号未满足微众商业银行审批要求无法借贷
为什么说我未满足微众银行审批要求	为什么说我未满足微众商业银行审批要求
苹果手机不行吗？	苹果公司手机不行吗？
微粒贷不符合银行资格	微粒贷不符合商业银行资格
苹果系统上没有微粒贷	苹果公司系统上没有微粒贷
不用的剩余金额可以提现吗？	不用的剩余数额可以提现吗？
一个小时了还没有到账	一个半小时了还没有到账
我微信流水不会低，为什么我找不到微粒贷开通口	我微信流水不会高，为什么我找不到微粒贷开通口
银行多久打电话确认	商业银行多久打电话确认
怎么更换还款银行	怎么更换还款商业银行
开通微粒贷后是否会影响在银行审批贷款？	开通微粒贷后是否会影响在商业银行审批贷款？
你好，我申请了贷款，没有银行电话来确认？是否借款失败	你好，我申请了贷款，没有商业银行电话来确认？是否借款失败
怎么还款，我账号改了	怎么还款，我帐号改了
手机号码要到银行更改吗	手机号码要到商业银行更改吗
微粒贷是否与微信银行有关？	微粒贷是否与微信商业银行有关？
17号怎么没有自动还款，平安银行	17号怎么没有自动还款，平安商业银行
我是苹果5的，可没借钱功能	我是苹果公司5的，可没借钱功能
苹果手机用户	苹果公司手机用户
什么银行	什么商业银行
你不是银行公司的吗，不是很有钱咩	你不是商业银行公司的吗，不是很有钱咩
身份信息输入错误怎么办	身分信息输入错误怎么办
1平安银行还款失败	1平安商业银行还款失败
怎么到现在没接到电话银行的电话确认？	怎么到现在没接到电话商业银行的电话确认？
我想咨询下，微粒贷显示的银行绑定手机不是正确的，收不到验证码，怎么办？	我想咨询下，微粒贷显示的商业银行绑定手机不是正确的，收不到验证码，怎么办？
我想咨询下，微粒贷显示的银行绑定手机不是正确的，收不到验证码，怎么办？	我想咨询下，微粒贷显示的商业银行绑定手机不是正确的，收不到验证码，怎么办？
银行要我出示我已还清向你们借款的证明	商业银行要我出示我已还清向你们借款的证明
为什么苹果手机打不开 不能使用 安卓的手机可以	为什么苹果公司手机打不开不能使用安卓的手机可以
微众银行APP开户是什么意思	微众商业银行APP开户是什么意思
招商银行单日限额多少啊？	招商商业银行单日限额多少啊？
为什么还款失败，我的卡余额充足啊	为什么还款失败，我的卡余额充裕啊
身份信息输入错误次数过多，无法借钱怎么办	身分信息输入错误次数过多，无法借钱怎么办
怎么注销账号	怎么注销帐号
我想绑定一个邮政银行的卡，总是提示对方银行处理失败	我想绑定一个邮政商业银行的卡，总是提示对方银行处理失败
没有人打电话啊，然后就提示有未接电话呢！啥情况	没有人打电话啊，然后就提示有未接电话呢！啥情形
身份信心输入多次错误不能借款	身分信心输入多次错误不能借款
为什么余额充足，银行没有在还款日自动扣款？	为什么余额充裕，银行没有在还款日自动扣款？
去银行可取现金吧	去商业银行可取现金吧
今晚上微众银行无法登陆	今晚上微众商业银行无法登陆
身份错误无法借款	身分错误无法借款
身份验证失败	身分验证失败
为什么未完成银行审批	为什么未完成商业银行审批
你未满足微众银行审批要求	你未满足微众商业银行审批要求
招商银行单日限额多少啊？	招商商业银行单日限额多少啊？
怎么我的微众银行APP一直登录失败啊	怎么我的微众商业银行APP一直登录失败啊
我未满足银行审批啥意思	我未满足商业银行审批啥意思
如何更改还款银行卡账号	如何更改还款银行卡帐号
未满足审批要求是什么情况	未满足审批要求是什么情形
为什么微众银行登陆出现网络错误	为什么微众商业银行登陆出现网络错误
呵呵为什么我没有威力贷	呵呵为什么我没有杀伤力贷
支持那几家银行？	支持那几家商业银行？
不符合微银行的条件	不符合微商业银行的条件
还款失败，还款的卡里余额充足，但显示还款失败	还款失败，还款的卡里余额充裕，但显示还款失败
原来绑定的卡丢了。需要换账号绑定。。已经提交了	原来绑定的卡丢了。需要换帐号绑定。。已经提交了
如何身份验证	如何身分验证
我有农业银行和建设银行的，怎么办理不了	我有农业商业银行和建设银行的，怎么办理不了
身份验证失败	身分验证失败
还款金额根据什么计算	还款数额根据什么计算
我以前的手机号，现在我老婆在用	我以前的手机号，现在我老公在用
更换还款银行，如何修改	更换还款商业银行，如何修改
你好，零钱上的钱不好还吗？	你好，零钱上的钱不太好还吗？
仅支持苹果手机是吧	仅支持苹果公司手机是吧
为什么会 为满足微众银行审批要求	为什么会为满足微众商业银行审批要求
以前绑定的银行卡已经过期，现怎样重新绑定其他的银行片	以前绑定的银行卡已经过期，现怎样重新绑定其他的商业银行片
为什么提示我输入的后四位身份证号说是不对，怎么出面这样的情况？	为什么提示我输入的后四位身份证号说是不对，怎么出面这样的情形？
更改还款账号	更改还款帐号
我的借款老是提示身份信息输入错误，无法借款，是什么原因?	我的借款老是提示身分信息输入错误，无法借款，是什么原因?
身份信息输错三次被锁定，第二天还不解锁	身分信息输错三次被锁定，第二天还不解锁
请问微粒贷现在苹果系统能用吗？	请问微粒贷现在苹果公司系统能用吗？
身份验证	身分验证
逾期会影响其它银行信用吗	逾期会影响其它商业银行信用吗
为什么工商银行，招商银行卡都不支持	为什么工商商业银行，招商银行卡都不支持
请问提示未满足微众银行审批要求是什么意思	请问提示未满足微众商业银行审批要求是什么意思
等待银行电话	等待商业银行电话
我的微众银行登录密码忘记了怎么办	我的微众商业银行登录密码忘记了怎么办
转入金额	转入数额
你好:我银行有钱怎么没扣款	你好:我商业银行有钱怎么没扣款
身份信息输入错误次数过多，无法借款！这个什么意思？	身分信息输入错误次数过多，无法借款！这个什么意思？
我把联众银行删除去	我把联众商业银行删除去
农业银行单日转账限额	农业商业银行单日转账限额
我的显示身份验证多次失败无法借款？怎么回事？	我的显示身分验证多次失败无法借款？怎么回事？
苹果手机不能办理吗	苹果公司手机不能办理吗
中国银行转入限额是多少？	中国商业银行转入限额是多少？
怎么我这老显示你未或的微众银行审批	怎么我这老显示你未或的微众商业银行审批
怎么到现在没接到电话银行的电话确认？	怎么到现在没接到电话商业银行的电话确认？
微粒贷分期是否影响银行按揭贷款	微粒贷分期是否影响商业银行按揭贷款
你好！我在银行保留的电话号码已更换，为何你们系统发验证码仍然发原来号码	你好！我在商业银行保留的电话号码已更换，为何你们系统发验证码仍然发原来号码
说没满足微纵银行要求审批	说没满足微纵商业银行要求审批
19日还款日，今天扣款，征信报告不会有逾期记录吧	19日还款日，今天扣款，征信调查报告不会有逾期记录吧
未满足审批要求是什么情况	未满足审批要求是什么情形
身份号码输入错误，提示不可以借款要怎样才可以恢复	身分号码输入错误，提示不可以借款要怎样才可以恢复
为满足微众银行审批要求是啥意思	为满足微众商业银行审批要求是啥意思
假如手机丢失，如何查找微众银行的存钱	假如手机丢失，如何查找微众商业银行的存钱
我是要关闭借钱，不需要。小孩子用了没钱还的	我是要关闭借钱，不需要。小孩用了没钱还的
微众银行APP进不去	微众商业银行APP进不去
苹果系统没有开通？	苹果公司系统没有开通？
刚接到诈骗电话，提供了身份证号给对方，会影响我的账号安全吗	刚接到诈骗电话，提供了身份证号给对方，会影响我的帐号安全吗
目前我可以借的额度可以高一点可行？	目前我可以借的额度可以低一点可行？
微众银行审批未通过，以后还能借钱吗？	微众商业银行审批未通过，以后还能借钱吗？
这个电话号码是你们银行不	这个电话号码是你们商业银行不
5:如何提升额度6:借款期限7:支持的银行	5:如何提升额度6:借款期限7:支持的商业银行
输入身份信息错误太多，无法借款;啥意思？	输入身分信息错误太多，无法借款;啥意思？
工商银行	工商商业银行
身份信息输入错误次数过多，借钱失败	身分信息输入错误次数过多，借钱失败
什么银行可以还款	什么商业银行可以还款
还款记录怎么给银行证明	还款记录怎么给商业银行证明
我6月12号还款，6月12号凌晨余额不足扣款失败，6月12号17:30扣款卡余额充足，什么时间扣款	我6月12号还款，6月12号凌晨余额不足扣款失败，6月12号17:30扣款卡余额充裕，什么时间扣款
什么银行卡能转到微众银行	什么银行卡能转到微众商业银行
你好 我现在买房子做贷款 银行说我在网上借的你们这个对我有影响 让我开个已经还清的证明 麻烦你们了	你好我现在买房子做贷款商业银行说我在网上借的你们这个对我有影响让我开个已经还清的证明麻烦你们了
怎么验证身份者	怎么验证身分者
微众银行账户有保险吗？被盗有赔偿吗？	微众商业银行账户有保险吗？被盗有赔偿吗？
我刚申请了借款……说是三分钟给电话……但一直没接到电话……麻烦你查查是什么情况……	我刚申请了借款……说是三分钟给电话……但一直没接到电话……麻烦你查查是什么情形……
2.如何更改还款银行	2.如何更改还款商业银行
已经在银行换了新预留号码。	已经在商业银行换了新预留号码。
不满足银行审批资格	不满足商业银行审批资格
一天最高借多少金额	一天最高借多少数额
我的意思是我看到玩，你又给我开通不了金额都没事别BB	我的意思是我看到玩，你又给我开通不了数额都没事别BB
当天借款，什么时间还利息低	当天借款，什么时间还利息高
不符合微众银行审批要求是什么意思	不符合微众商业银行审批要求是什么意思
开机密码系统账号密码	开机密码系统帐号密码
问下从微账号中转到其他银行卡，每天额度有限制吗	问下从微帐号中转到其他银行卡，每天额度有限制吗
我有一笔借款正在等银行电话，怎么取消	我有一笔借款正在等商业银行电话，怎么取消
未满足微众银行的审批	未满足微众商业银行的审批
为什么我的微粒贷开通不了，比我qq等级低的都开了，我的qq用了10几年	为什么我的微粒贷开通不了，比我qq等级高的都开了，我的qq用了10几年
银行电话什么时间来	商业银行电话什么时间来
身份信息错误怎么回事？	身分信息错误怎么回事？
我已经到银行更换了手机号码	我已经到商业银行更换了手机号码
银行验证码预留的号码已换 收不到短息验证码	商业银行验证码预留的号码已换收不到短息验证码
您好，微信贷款我已还清，可银行那边要我这边有个结清证明	您好，微信贷款我已还清，可商业银行那边要我这边有个结清证明
你未满足微信银行审批要求	你未满足微信商业银行审批要求
在哪里输入身份验证	在哪里输入身分验证
为什么半个小时还没电话来核实？	为什么半个半小时还没电话来核实？
是进入微众银行APP还是微立贷的App呢	是进入微众商业银行APP还是微立贷的App呢
银行电话什么时候打？	商业银行电话什么时候打？
一般什么情况下卡里有钱会扣款失败？	一般什么情形下卡里有钱会扣款失败？
我想问一下，就是还款日银行会直接在我银行卡扣钱就好吗，还是要操作什么的？	我想问一下，就是还款日商业银行会直接在我银行卡扣钱就好吗，还是要操作什么的？
为什么我借钱是输入的身份信息都正确，为什么会显示输入错误次数过多	为什么我借钱是输入的身分信息都正确，为什么会显示输入错误次数过多
为什么还款失败，我的卡余额充足啊	为什么还款失败，我的卡余额充裕啊
23个小时没放款了	23个半小时没放款了
为什么我借钱老是提示我身份输入错误次数过多'无法借款	为什么我借钱老是提示我身分输入错误次数过多'无法借款
中信银行信用卡	中信商业银行信用卡
为什么我老婆的微信上借款失败	为什么我老公的微信上借款失败
中信银行信用卡	中信商业银行信用卡
怎么到现在没接到电话银行的电话确认？	怎么到现在没接到电话商业银行的电话确认？
输入身份信息错误太多，无法借款;啥意思？	输入身分信息错误太多，无法借款;啥意思？
你好，我昨晚有一必借款，银行还没有打电话给我确认	你好，我昨晚有一必借款，商业银行还没有打电话给我确认
微众银行APP升级到1.8后闪退，只好降下来，机型酷派安卓	微众商业银行APP升级到1.8后闪退，只好降下来，机型酷派安卓
你好。为什么我申请的贷款几个小时了 还没接到电话？我又是如何成为微粒贷用户的？	你好。为什么我申请的贷款几个半小时了还没接到电话？我又是如何成为微粒贷用户的？
银行预留电话已更改怎么办	商业银行预留电话已更改怎么办
